order_id,order_date,customer_id,product_id,store_id,quantity,discount
1001,2026-01-04,481,105,7,2,0.11
1002,2025-10-03,1932,101,1,2,0.24
1003,2025-07-05,4896,104,4,4,0.24
1004,2025-06-05,1409,103,7,2,0.03
1005,2025-04-01,740,102,2,4,0.11
1006,2025-06-13,2763,106,1,4,0.01
1007,2025-09-05,2372,102,3,3,0.29
1008,2025-05-25,4283,108,5,4,0.27
1009,2026-01-20,3959,107,4,1,0.09
1010,2025-07-01,1867,103,2,4,0.05
1011,2025-10-08,3852,104,1,2,0.22
1012,2025-11-26,320,102,7,3,0.24
1013,2025-06-25,4885,106,2,2,0.06
1014,2025-10-29,3408,101,2,2,0.02
1015,2025-11-10,2030,106,4,4,0.17
1016,2026-02-10,4787,106,6,3,0.0
1017,2025-06-14,1471,104,1,2,0.19
1018,2025-09-02,1676,103,2,2,0.03
1019,2025-07-16,999,104,6,4,0.1
1020,2025-02-15,3550,102,1,3,0.13
1021,2025-06-12,3640,105,3,4,0.28
1022,2025-12-28,3984,107,3,3,0.19
1023,2025-08-19,3727,106,4,2,0.08
1024,2026-01-19,897,103,7,3,0.05
1025,2025-03-15,3049,102,2,3,0.07
1026,2025-07-20,470,108,5,1,0.24
1027,2025-06-08,4643,102,2,3,0.27
1028,2025-12-16,3255,103,5,1,0.19
1029,2025-03-24,4644,105,1,4,0.13
1030,2025-12-28,3849,106,5,3,0.02
1031,2025-04-13,3689,103,7,2,0.21
1032,2025-11-10,3308,106,4,3,0.05
1033,2025-03-06,3715,102,2,2,0.1
1034,2025-09-26,1500,104,7,3,0.19
1035,2025-12-11,941,106,4,4,0.19
1036,2025-07-27,678,102,5,4,0.22
1037,2025-03-22,4437,101,1,2,0.18
1038,2026-01-06,2993,108,6,3,0.22
1039,2026-01-25,1839,107,2,2,0.17
1040,2025-06-10,3933,105,3,4,0.04
1041,2025-03-18,4113,106,5,3,0.21
1042,2025-06-18,3060,101,4,4,0.14
1043,2025-06-27,1060,107,2,2,0.13
1044,2025-03-03,218,108,6,4,0.21
1045,2025-05-05,400,105,7,4,0.1
1046,2025-03-13,3261,102,1,3,0.09
1047,2025-04-19,4557,107,7,3,0.21
1048,2025-05-14,226,105,2,3,0.22
1049,2025-09-18,4410,107,3,2,0.18
1050,2025-08-22,2932,104,1,4,0.13
1051,2025-10-04,759,101,1,1,0.12
1052,2025-06-22,3806,105,5,1,0.07
1053,2025-10-24,3789,102,6,1,0.28
1054,2025-03-01,4405,106,4,1,0.25
1055,2025-10-07,3277,108,2,3,0.29
1056,2025-12-08,2182,103,7,4,0.14
1057,2025-10-17,2803,101,3,2,0.09
1058,2025-04-26,3411,102,2,3,0.02
1059,2026-02-02,4858,104,7,1,0.07
1060,2025-09-11,33,106,6,1,0.13
1061,2026-01-16,1272,105,1,2,0.22
1062,2025-04-15,1633,107,6,4,0.29
1063,2026-01-07,3101,103,7,1,0.13
1064,2025-07-02,3406,108,4,2,0.04
1065,2025-03-20,958,105,2,2,0.12
1066,2025-11-10,3474,104,7,1,0.2
1067,2025-09-16,1747,102,2,4,0.04
1068,2025-04-24,1146,103,7,4,0.17
1069,2025-12-07,4114,102,5,2,0.22
1070,2025-08-14,16,107,7,3,0.14
